Timecode List:,00:00:07.591,00:00:13.722,00:00:19.978,00:00:27.027,00:00:32.908,00:00:38.288,00:00:43.502,00:00:49.007,00:00:53.720,00:00:55.681,00:01:05.440,00:01:06.984,00:01:08.485,00:01:09.945,00:01:11.280,00:01:18.787,00:01:21.915,00:01:24.084,00:01:24.876,00:01:26.545,00:01:36.930,00:01:39.975,00:01:42.102,00:01:43.353,00:01:44.688,00:01:47.774,00:01:52.195,00:02:00.787,00:02:04.916,00:02:07.627,00:02:11.965,00:02:20.140,00:02:23.268,00:02:25.687,00:02:30.359,00:02:39.951,00:02:42.454,00:02:51.088,00:02:53.382,00:02:55.842,00:03:00.389,00:03:05.394,00:03:07.562,00:03:14.152,00:03:20.784,00:03:22.744,00:03:26.248,00:03:30.627,00:03:31.837,00:03:33.046,00:03:34.423,00:03:36.091,00:03:37.259,00:03:42.055,00:03:43.723,00:03:47.018,00:03:50.939,00:03:53.275,00:03:58.363,00:04:05.454,00:04:08.748,00:04:12.461,00:04:20.719,00:04:43.450,00:04:45.118,00:04:48.747,00:04:52.167,00:04:54.961,00:04:56.421,00:05:02.260,00:05:04.846,00:05:06.097,00:05:08.058,00:05:12.145,00:05:18.068,00:05:19.820,00:05:21.488,00:05:23.949,00:05:27.744,00:05:31.873,00:05:38.129,00:06:03.363,00:06:08.618,00:06:15.917,00:06:17.961,00:06:21.089,00:06:23.300,00:06:26.678,00:06:30.640,00:06:34.311
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,182,00:00:07.591,7.591,182,00:00:07.591,7.591
2,183,00:00:07.591,7.591,329,00:00:13.722,13.722,147,00:00:06.131,6.131
3,330,00:00:13.722,13.722,479,00:00:19.978,19.978,150,00:00:06.256,6.256
4,480,00:00:19.978,19.978,648,00:00:27.027,27.027,169,00:00:07.049,7.049
5,649,00:00:27.027,27.027,789,00:00:32.908,32.908,141,00:00:05.881,5.881
6,790,00:00:32.908,32.908,918,00:00:38.288,38.288,129,00:00:05.380,5.380
7,919,00:00:38.288,38.288,1043,00:00:43.502,43.502,125,00:00:05.214,5.214
8,1044,00:00:43.502,43.502,1175,00:00:49.007,49.007,132,00:00:05.505,5.505
9,1176,00:00:49.007,49.007,1288,00:00:53.720,53.720,113,00:00:04.713,4.713
10,1289,00:00:53.720,53.720,1335,00:00:55.681,55.681,47,00:00:01.960,1.960
11,1336,00:00:55.681,55.681,1569,00:01:05.440,65.440,234,00:00:09.760,9.760
12,1570,00:01:05.440,65.440,1606,00:01:06.984,66.984,37,00:00:01.543,1.543
13,1607,00:01:06.984,66.984,1642,00:01:08.485,68.485,36,00:00:01.501,1.501
14,1643,00:01:08.485,68.485,1677,00:01:09.945,69.945,35,00:00:01.460,1.460
15,1678,00:01:09.945,69.945,1709,00:01:11.280,71.280,32,00:00:01.335,1.335
16,1710,00:01:11.280,71.280,1889,00:01:18.787,78.787,180,00:00:07.507,7.507
17,1890,00:01:18.787,78.787,1964,00:01:21.915,81.915,75,00:00:03.128,3.128
